No,Pic,Mp4,iRecord,id,affectedId,dec_frame,dec,human_dec_risk,llm_frame,llm_dec,llm_dec_risk,frame_start,frame_end,lane_change_frame,lane_id,comparison,front_risk,behind_risk,left_risk,right_risk,leftPrecedingRisk,leftFollowingRisk,rightPrecedingRisk,rightFollowingRisk,rp00,rp01,rp02,rp10,rp11,rp12,rp20,rp21,rp22,rp30,rp31,rp32,rp40,rp41,rp42
1,llm_03_17205_618_623.png,03_17181_17313_618_623.mp4,03,618,623,17220,-1,0.2525385731240934,17205,0,0.23192228229812298,17051,17313,17206,2,better,0.4432282737702756,0.0,0.2525385731240934,1.0,0.0,0.2525385731240934,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
2,llm_05_19524_846_850.png,05_19500_19605_846_850.mp4,05,846,850,19541,-1,0.1442700778056178,19524,-2,0.0,19437,19605,19525,3,better,0.0,0.0,0.1442700778056178,0.899116444678887,0.0,0.1442700778056178,0.899116444678887,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0
3,llm_08_17093_993_994.png,08_17046_17108_993_994.mp4,08,993,994,17071,-1,0.624818673348279,17093,1,0.0882236581827772,16916,17108,17094,7,better,0.0,0.0,0.624818673348279,0.0882236581827772,0.4771198734010286,0.624818673348279,0.0,0.0882236581827772,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
4,llm_10_4054_227_238.png,10_4020_4067_227_238.mp4,10,227,238,4045,-1,0.9578003428722142,4054,2,0.0,3882,4067,4055,2,better,0.0,0.0,0.9578003428722142,1.0,0.0,0.9578003428722142,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
5,llm_11_14533_1699_1702.png,11_14517_14672_1699_1702.mp4,11,1699,1702,14560,-1,0.3753132005802453,14533,2,0.0391665567717262,14517,14672,14534,7,better,0.0391665567717262,0.1895028352894632,0.3753132005802453,0.5325069233812475,0.2144270077805617,0.3753132005802453,0.5325069233812475,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0
6,llm_12_10757_1317_1322.png,12_10733_10912_1317_1322.mp4,12,1317,1322,10790,1,0.5458261901622049,10757,-2,0.0,10631,10912,10758,3,better,0.3543452459448767,0.0,0.8474218646973494,0.5458261901622049,0.8474218646973494,0.420677831992615,0.5458261901622049,0.4676249505472768,3.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
7,llm_12_18179_2141_2143.png,12_18155_18276_2141_2143.mp4,12,2141,2143,18221,1,0.7428458393775551,18179,0,0.3673568068926107,18062,18276,18180,6,better,0.3592245813002769,0.0,1.0,0.7428458393775551,0.0,0.0,0.696558090465515,0.7428458393775551,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0
8,llm_13_19912_2179_2189.png,13_19888_19972_2179_2189.mp4,13,2179,2189,19922,-1,0.4477119873401028,19912,-2,0.5160226823157061,19808,19972,19913,3,not_better,0.4800210998285639,0.5160226823157061,0.4477119873401028,0.9427667150204404,0.1033891599630753,0.4477119873401028,0.9427667150204404,0.5013846762495054,3.0,3.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0
9,llm_14_1007_87_104.png,14_983_1022_87_104.mp4,14,87,104,1013,-1,0.32216800738494,1007,2,0.0,916,1022,1008,8,better,0.0,0.0,0.32216800738494,1.0,0.0,0.32216800738494,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
10,llm_15_2706_145_147.png,15_2677_2877_145_147.mp4,15,145,147,2702,-1,0.7362521429513386,2706,2,0.2179876038507187,2602,2877,2715,6,better,0.2179876038507187,0.0,0.7362521429513386,1.0,0.0,0.7362521429513386,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
11,llm_16_15055_623_630.png,16_15031_15228_623_630.mp4,16,623,630,15059,-1,0.1422919688777528,15055,0,0.10316937008220135,14971,15228,15056,2,better,0.1672161413688513,0.0,0.1422919688777528,1.0,0.1422919688777528,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
12,llm_17_11283_491_495.png,17_11249_11358_491_495.mp4,17,491,495,11274,-1,0.5652116576552816,11283,0,0.3630489252274825,11193,11358,11284,6,better,0.5239351180271661,0.0,0.5652116576552816,1.0,0.386786232361862,0.5652116576552816,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
13,llm_19_20379_846_851.png,19_20355_20433_846_851.mp4,19,846,851,20393,-1,0.7142291968877753,20379,2,0.0,20190,20433,20380,2,better,0.0,0.0511670842674403,0.7142291968877753,1.0,0.7142291968877753,0.2454173809837795,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
14,llm_21_22876_976_979.png,21_22852_22936_976_979.mp4,21,976,979,22897,-1,0.5313200580245285,22876,-2,0.0,22751,22936,22877,2,better,0.0,0.0,0.5313200580245285,1.0,0.5313200580245285,0.4106554134247659,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
15,llm_22_12775_653_657.png,22_12751_12913_653_657.mp4,22,653,657,12790,-1,0.2615060002637479,12775,2,0.2435711459844388,12690,12913,12776,6,better,0.2435711459844388,0.0261110378478174,0.2615060002637479,1.0,0.0,0.2615060002637479,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
16,llm_25_28826_2785_2791.png,25_28802_29069_2785_2791.mp4,25,2785,2791,28862,1,0.4779111169721746,28826,0,0.37686271924040615,28725,29069,28827,7,better,0.0,0.2555716734801529,0.7739680865092972,0.4779111169721746,0.7739680865092972,0.2389555584860873,0.4779111169721746,0.2346037188447844,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0
17,llm_25_29384_2817_2809.png,25_29360_29460_2817_2809.mp4,25,2817,2809,29395,-1,0.6351048397731769,29384,2,0.3463009363048925,29311,29460,29385,7,better,0.3463009363048925,0.0,0.6351048397731769,0.7548463668732691,0.6351048397731769,0.6325992351312145,0.7548463668732691,0.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0
18,llm_26_1555_213_219.png,26_1497_1645_213_219.mp4,26,213,219,1513,1,0.7046024001054991,1555,-2,0.0,1497,1645,1556,7,better,0.4127653962811552,0.0,0.7870236054332058,0.7046024001054991,0.5393643676645127,0.7870236054332058,0.2694184359752077,0.7046024001054991,3.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0
19,llm_26_5049_496_522.png,26_5025_5303_496_522.mp4,26,496,522,5067,-1,0.4838454437557695,5049,2,0.0,4725,5303,5050,2,better,0.0,0.7671106422260319,0.4838454437557695,1.0,0.0,0.4838454437557695,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
20,llm_26_5302_496_535.png,26_5278_5484_496_535.mp4,26,496,535,5326,-1,0.6133456415666623,5302,2,0.0089674271396544,5050,5484,5303,3,better,0.0089674271396544,0.2510879599103257,0.6133456415666623,0.1482262956613477,0.491230383753132,0.6133456415666623,0.0,0.1482262956613477,3.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
21,llm_26_16687_1599_1631.png,26_16663_16895_1599_1631.mp4,26,1599,1631,16688,-1,0.2404061716998549,16687,2,0.1269945931689305,16549,16895,16688,2,better,0.1269945931689305,0.0,0.2404061716998549,1.0,0.2404061716998549,0.1979427667150204,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
22,llm_26_20455_1972_1996.png,26_20431_20532_1972_1996.mp4,26,1972,1996,20504,-1,0.4453382566266649,20455,1,0.2398786759857576,20401,20532,20456,3,better,0.4139522616378742,0.4127653962811552,0.4453382566266649,0.2398786759857576,0.4453382566266649,0.0,0.2398786759857576,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0
23,llm_27_493_72_76.png,27_469_607_72_76.mp4,27,72,76,511,-1,0.6999868126071476,493,-2,0.0,421,607,494,3,better,0.0025056046419622,0.0,0.6999868126071476,0.456547540551233,0.6999868126071476,0.2472636159831201,0.134775154951866,0.456547540551233,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0
24,llm_28_25836_1972_1981.png,28_25811_25877_1972_1981.mp4,28,1972,1981,25836,-1,0.3751813266517209,25836,2,0.0,25683,25877,25837,8,better,0.0,0.0,0.3751813266517209,1.0,0.2885401556112356,0.3751813266517209,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
25,llm_28_28938_2210_2213.png,28_28914_29025_2210_2213.mp4,28,2210,2213,28971,-1,0.0011868653567189,28938,2,0.0,28734,29025,28939,2,better,0.0,0.0,0.0011868653567189,1.0,0.0,0.0011868653567189,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
26,llm_29_3576_295_300.png,29_3552_3718_295_300.mp4,29,295,300,3604,-1,0.5740472108664118,3576,0,0.35513648951602267,3483,3718,3577,7,better,0.406303573783463,0.0,0.5740472108664118,0.440195173414216,0.5740472108664118,0.0949492285375181,0.440195173414216,0.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0
27,llm_29_17668_1340_1348.png,29_17644_17858_1340_1348.mp4,29,1340,1348,17691,-1,0.2595278913358829,17668,2,0.102070420677832,17535,17858,17669,3,better,0.102070420677832,0.1988658842146907,0.2595278913358829,0.3232229988131346,0.0,0.2595278913358829,0.1428194645918502,0.3232229988131346,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
28,llm_31_11082_895_899.png,31_11042_11205_895_899.mp4,31,895,899,11067,-1,0.5732559672952657,11082,2,0.4250296716339179,10937,11205,11083,2,better,0.4250296716339179,0.0,0.5732559672952657,1.0,0.5732559672952657,0.0476064881972834,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
